year     character     pin1yin1     POS     lesson     definition     notes
1     教练     jiao4lian4     noun     16     coach, teach, & practice     ...
1     游泳     you2yong3     verb     16     to swim     ...
1     非常     fei1chang2     adverb     16     very     ...
1     快     kuai4     adjective     16     fast     ...
1     体育馆     ti3yu4guan3     noun     16     gymnasium     ...
1     游泳池     you2yong3chi2     noun     16     swimming pool     ...
1     健身房     jian4shen1fang2     noun     16     gym     (for working out)
1     锻炼     duan4lian4     noun     16     to exercise     ...
1     现在     xian4zai4     adverb     16     now     ...
1     昨天     zuo2tian1     adverb     16     yesterday     ...
1     球赛     qiu2sai4     noun     16     ballgame or match     add a character to the front to specify the sport (i.e. 篮球赛)
1     作业     zuo4ye4     noun     16     homework     功课 but slightly less common and more southern
1     包     bao1     verb     16     to wrap     ...
1     慢     man4     adjective     16     slow     ...
1     跑步     pao3bu4     verb     16     to run     ...
1     网球     wang3qiu2     noun     16     tennis     ...
1     运动     yun4dong4     noun     16     sports     also verb: to exercise 运动
1     运动     yun4dong4     verb     16     to exercise     also noun: sports, synonymous with 云动
1     棒球     bang4qiu2     noun     16     baseball     ...
1     足球     zu2qiu2     noun     16     soccer     use the verb 踢 because you kick the ball
1     踢     ti3     verb     16     to kick     ...
1     网球鞋     wang3qiu2xie2     noun     16     tennis shoes     replace first character with any other sport to specify another sport\'s shoes
1     运动鞋     yun4dong4xie2     noun     16     athletic shoes     ...
1     运动员     yun4dong4yuan2     noun     16     athlete     ...
1     橄榄球     gan3lan3qiu2     noun     16     football     olive ball :D (older way to say it)
1     美式足球     mei3shi4zu2qiu2     noun     16     football     more modern way to say it
1     春天     chun1tian1     noun     17     spring     ...
1     久     jiu3     adverb     17     for a long time     ...
1     时间     shi2jian1     noun     17     time     ...
1     放     fang4     verb     17     to have, to start a vacation     ...
1     春假     chun1jia4     noun     17     spring break     ...
1     气候     qi4hou4     noun     17     climate     ...
1     夏天     xia4tian1     noun     17     summer     ...
1     秋天     qiu1tian1     noun     17     autumn     ...
1     冬天     dong1tian1     noun     17     winter     ...
1     其中     qi2zhong1     preposition     17     among, among whom/which     ...
1     最     zui4     adverb     17     (indicate superlative degree)     ...
1     暖和     nuan3huo5     adjective     17     warm     ...
1     短     duan3     adjective     17     short     ...
1     有时候     you3shi2hou5     adverb     17     sometimes     ...
1     热     re4     adjective     17     hot     ...
1     华氏     hua2shi4     noun     17     Fahrenheit     ...
1     百     bai3     number     17     hundred     ...
1     度     du4     noun     17     degree     ...
1     极     ji2     adverb     17     extremely     ...
1     刮风     gua1feng1     VO     17     to blow (wind)     ...
1     风     feng1     noun     17     wind     ...
1     下雨     xia4yu3     VO     17     to rain     ...
1     雨     yu3     noun     17     rain     ...
1     冷     leng3     adjective     17     cold     ...
1     下雪     xia4xue3     VO     17     to snow     ...
1     雪     xue3     noun     17     snow     ...
1     见面     jian4mian4     VO     17     to meet each other     ...
1     面     mian4     noun     17     face     ...
1     虽然     sui1ran2     conjunction     17     although, also, even though or even     虽然...可以...
1     离开     li2kai1     verb     17     to leave     drive away: 开车离开
